,Region,Std
0,Территория за пределами РФ,1332.153361037134
1, Чеченская Республика,779.5717067527235
2, Ямало-Ненецкий автономный округ,739.3290449083053
3, Республика Северная Осетия - Алания,677.9089014204244
4, Республика Дагестан,657.2845481650252
5, Республика Тыва,641.6682099770799
6, Кемеровская область,621.0871610694816
7, Магаданская область,614.8118916285797
8, Кабардино-Балкарская Республика,614.0460846716691
9, Брянская область,592.4564291304055
10, Республика Татарстан (Татарстан),590.2042021813669
11, Краснодарский край,584.7406656698319
12, Республика Ингушетия,583.4284631176159
13, Ставропольский край,581.8625659348556
14, Ненецкий автономный округ,581.5791490989569
15, Республика Адыгея (Адыгея),572.8112314404021
16, Вологодская область,568.3088067686888
17, Калужская область,561.2877773475238
18, Хабаровский край,557.9241176416907
19, Камчатский край,557.3660784564199
20, Тюменская область,546.4907699212011
21, Карачаево-Черкесская Республика,546.1958292776674
22, Республика Башкортостан,539.4590955637334
23, Волгоградская область,537.4078196873941
24, Мурманская область,529.2818609051635
25, Архангельская область,521.1994551255145
26, Республика Крым,515.6386391937393
27, Челябинская область,511.4025280860291
28, город Севастополь,509.2469582164182
29, Пермский край,507.03566411178235
30, Липецкая область,506.88293387139885
31, Самарская область,506.1263603068325
32, Ростовская область,505.4721683620061
33, Ленинградская область,505.2919084265129
34, Пензенская область,503.72836365823593
35, Республика Мордовия,500.8763981877531
36, Красноярский край,500.8657503986667
37, Новосибирская область,499.74917027906633
38, Тамбовская область,499.71272568431345
39, Нижегородская область,496.29635673292415
40, Костромская область,491.0541257127582
41, Свердловская область,489.90239505172826
42, Приморский край,488.88563419967005
43, Алтайский край,488.48055915687934
44, Рязанская область,486.67378209891416
45, Смоленская область,484.7977935376132
46, Республика Саха (Якутия),482.7232506726582
47, Владимирская область,482.13978716498855
48, Томская область,480.42993525653026
49, Сахалинская область,478.78799011706195
50, Оренбургская область,478.0333052417691
51, Чувашская Республика - Чувашия,477.55980852903696
52, Орловская область,476.7284134618106
53, Ярославская область,474.99336300973715
54, Чукотский автономный округ,471.23033177972064
55, Ульяновская область,471.1931953404026
56, Астраханская область,470.50293930076515
57, Забайкальский край,468.3095372945187
58, Республика Коми,464.8566140672469
59, Ханты-Мансийский автономный округ - Югра,461.0466853176679
60, Республика Карелия,460.4027730458401
61, Тульская область,458.75555657986496
62, Омская область,457.8248601887715
63, Республика Бурятия,456.7235189871342
64, Псковская область,449.7281525102339
65, Иркутская область,443.10093132519086
66, Кировская область,440.17049778689125
67, Удмуртская Республика,440.0630391634415
68, Амурская область,435.851330465835
69, Курская область,434.7375818891891
70, Республика Хакасия,433.59508844994593
71, Саратовская область,427.93769089742364
72, Белгородская область,426.46154600800605
73, Воронежская область,420.08779661282307
74, Республика Марий Эл,419.4577392081728
75, Тверская область,417.7056363169501
76, Новгородская область,415.07980550195805
77, город Санкт-Петербург,413.7441013070579
78, Республика Алтай,390.3066106501458
79, Еврейская автономная область,378.08694899642535
80, город Москва,372.59697051778613
81, Республика Калмыкия,371.65683464862553
82, Курганская область,371.43133365287446
83, Московская область,361.6231386337523
84, Ивановская область,324.46416200964654
85,Город Байконур (Республика Казахстан),180.97092636795608
